device_id,device_name,owner,city,province,lat,lon,compliance,battery,os_version,device_type,last_seen,risk_level
MDM-001,Device-001,Store,Denpasar,Bali,-8.677017,115.230455,Warning,89,Android 12,Tablet,15m,High
MDM-002,Device-002,Warehouse,Balikpapan,Kalimantan Timur,-1.273533,116.824167,Non-Compliant,50,Android 12,Tablet,45m,Medium
MDM-003,Device-003,Warehouse,Surabaya,Jawa Timur,-7.250066,112.764734,Non-Compliant,37,Android 12,Tablet,15m,Low
MDM-004,Device-004,Store,Jakarta,DKI Jakarta,-6.166134,106.82049,Warning,76,Android 12,Tablet,60m,High
MDM-005,Device-005,Warehouse,Surabaya,Jawa Timur,-7.267502,112.735898,Non-Compliant,65,Android 13,Tablet,60m,Medium
MDM-006,Device-006,Sales,Makassar,Sulawesi Selatan,-5.166188,119.441585,Warning,74,Android 12,Phone,60m,Low
MDM-007,Device-007,Warehouse,Jakarta,DKI Jakarta,-6.158321,106.818155,Compliant,67,Android 14,Phone,60m,Medium
MDM-008,Device-008,Store,Jakarta,DKI Jakarta,-6.183609,106.823567,Warning,48,Android 14,Phone,10m,High
MDM-009,Device-009,Warehouse,Surabaya,Jawa Timur,-7.250497,112.764916,Compliant,34,Android 14,Tablet,5m,High
MDM-010,Device-010,Warehouse,Makassar,Sulawesi Selatan,-5.139756,119.421606,Non-Compliant,95,Android 12,Tablet,10m,Low
MDM-011,Device-011,Store,Surabaya,Jawa Timur,-7.254677,112.74139,Warning,42,Android 11,Tablet,15m,Low
MDM-012,Device-012,Sales,Medan,Sumatera Utara,-3.588344,98.657574,Warning,40,Android 12,Tablet,45m,Low
MDM-013,Device-013,Sales,Bandung,Jawa Barat,-6.918719,107.610842,Warning,60,Android 11,Phone,5m,Medium
MDM-014,Device-014,Sales,Bandung,Jawa Barat,-6.901587,107.616374,Warning,87,Android 12,Tablet,15m,High
MDM-015,Device-015,Sales,Balikpapan,Kalimantan Timur,-1.259399,116.832658,Compliant,58,Android 12,Phone,60m,Medium
MDM-016,Device-016,Sales,Makassar,Sulawesi Selatan,-5.157906,119.420433,Compliant,65,Android 11,Tablet,5m,High
MDM-017,Device-017,Warehouse,Palembang,Sumatera Selatan,-2.98889,104.757612,Compliant,85,Android 14,Tablet,5m,Low
MDM-018,Device-018,Warehouse,Denpasar,Bali,-8.663335,115.207535,Warning,64,Android 14,Tablet,15m,High
MDM-019,Device-019,Store,Denpasar,Bali,-8.678596,115.198238,Non-Compliant,49,Android 12,Phone,5m,High
MDM-020,Device-020,Warehouse,Palembang,Sumatera Selatan,-2.99429,104.744396,Compliant,44,Android 12,Phone,15m,Medium
